uniprot_id,gene,n_tm,topology_class,best_nuc_resnum,best_nuc_topology,rationale
Q9BSK0,MARVELD1,4,UNKNOWN,,NO_POCKET_NUCLEOPHILE,No pocket nucleophile identified (BTR-Score 0); trigger residue not localizable
Q9BUH8,BEGAIN,0,INTRACELLULAR,210,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; membrane"
Q9BZE9,ASPSCR1,0,INTRACELLULAR,512,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: endomembrane system; endoplasmic reticulum-golgi intermediate compartment membrane; cytoplasm; nucle"
Q9BZQ4,NMNAT2,0,INTRACELLULAR,77,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: golgi apparatus membrane; cytoplasmic vesicle membrane; cytoplasm; cell projection, axon"
Q9GZV5,WWTR1,0,INTRACELLULAR,285,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: nucleus; cytoplasm; cell membrane; cell junction, tight junction"
Q9GZY4,COA1,1,UNKNOWN,,NO_POCKET_NUCLEOPHILE,No pocket nucleophile identified (BTR-Score 0); trigger residue not localizable
Q9H0U3,MAGT1,4,EXTRACELLULAR_POCKET,153,EXTRACELLULAR,Best pocket nucleophile at residue 153 lies in a UniProt-annotated Extracellular topological domain
Q9H2S1,KCNN2,6,UNKNOWN,285,NO_TOPOLOGY_ANNOTATION,6 TM helix(es) but no Topological-domain annotation in UniProt
Q9H339,OR51B5,7,INTRACELLULAR_POCKET,130,CYTOPLASMIC,Best pocket nucleophile at residue 130 lies in a Cytoplasmic topological domain
Q9H4D0,CLSTN2,1,EXTRACELLULAR_POCKET,615,EXTRACELLULAR,Best pocket nucleophile at residue 615 lies in a UniProt-annotated Extracellular topological domain
Q9HBX8,LGR6,7,EXTRACELLULAR_POCKET,70,EXTRACELLULAR,Best pocket nucleophile at residue 70 lies in a UniProt-annotated Extracellular topological domain
Q9HCC8,GDPD2,6,EXTRACELLULAR_POCKET,452,EXTRACELLULAR,Best pocket nucleophile at residue 452 lies in a UniProt-annotated Extracellular topological domain
Q9HD42,CHMP1A,0,INTRACELLULAR,67,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; endosome membrane; nucleus matrix"
Q9NP84,TNFRSF12A,1,INTERMEDIATE,96,TRANSMEMBRANE,Best pocket nucleophile at residue 96 lies inside a TM helix
Q9NP99,TREM1,1,INTERMEDIATE,217,TRANSMEMBRANE,Best pocket nucleophile at residue 217 lies inside a TM helix
Q9NPC4,A4GALT,1,INTERMEDIATE,169,LUMENAL,Best pocket nucleophile at residue 169 lies in a lumenal domain (organellar lumen; not directly extracellular)
Q9NPF0,CD320,1,EXTRACELLULAR_POCKET,71,EXTRACELLULAR,Best pocket nucleophile at residue 71 lies in a UniProt-annotated Extracellular topological domain
Q9NQ90,ANO2,8,INTRACELLULAR_POCKET,133,CYTOPLASMIC,Best pocket nucleophile at residue 133 lies in a Cytoplasmic topological domain
Q9NXI6,RNF186,2,UNKNOWN,47,NO_TOPOLOGY_ANNOTATION,2 TM helix(es) but no Topological-domain annotation in UniProt
Q9NY59,SMPD3,0,INTRACELLULAR,152,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: golgi apparatus membrane; cell membrane"
Q9NYA1,SPHK1,0,INTRACELLULAR,321,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; nucleus; cell membrane; endosome membrane; membrane, clathrin-coated pit; synapse"
Q9NYW0,TAS2R10,7,INTERMEDIATE,106,TRANSMEMBRANE,Best pocket nucleophile at residue 106 lies inside a TM helix
Q9NZP6,NPAP1,0,INTRACELLULAR,909,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: nucleus, nucleoplasm; nucleus inner membrane"
Q9NZQ3,NCKIPSD,0,INTRACELLULAR,697,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: nucleus"
Q9P126,CLEC1B,1,EXTRACELLULAR_POCKET,109,EXTRACELLULAR,Best pocket nucleophile at residue 109 lies in a UniProt-annotated Extracellular topological domain
Q9P2D0,IBTK,0,INTRACELLULAR,686,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; membrane; nucleus"
Q9UBN6,TNFRSF10D,1,EXTRACELLULAR_POCKET,157,EXTRACELLULAR,Best pocket nucleophile at residue 157 lies in a UniProt-annotated Extracellular topological domain
Q9UEF7,KL,1,EXTRACELLULAR_POCKET,889,EXTRACELLULAR,Best pocket nucleophile at residue 889 lies in a UniProt-annotated Extracellular topological domain
Q9UHY1,NRBP1,0,INTRACELLULAR,478,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm, cell cortex; endomembrane system; cell projection, lamellipodium"
Q9UIR0,BTNL2,1,EXTRACELLULAR_POCKET,288,EXTRACELLULAR,Best pocket nucleophile at residue 288 lies in a UniProt-annotated Extracellular topological domain
Q9UJM3,ERRFI1,0,INTRACELLULAR,298,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; cell membrane; nucleus"
Q9UL54,TAOK2,5,UNKNOWN,,NO_POCKET_NUCLEOPHILE,No pocket nucleophile identified (BTR-Score 0); trigger residue not localizable
Q9UN73,PCDHA6,1,EXTRACELLULAR_POCKET,578,EXTRACELLULAR,Best pocket nucleophile at residue 578 lies in a UniProt-annotated Extracellular topological domain
Q9UQ26,RIMS2,0,INTRACELLULAR,446,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cell membrane; synapse; presynaptic cell membrane"
Q9UQ49,NEU3,0,INTRACELLULAR,423,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cell membrane; membrane, caveola; early endosome membrane; recycling endosome membrane; lysosome mem"
Q9Y250,LZTS1,0,INTRACELLULAR,450,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; cell membrane; cell projection, dendritic spine; postsynaptic density; synapse"
Q9Y275,TNFSF13B,1,EXTRACELLULAR_POCKET,163,EXTRACELLULAR,Best pocket nucleophile at residue 163 lies in a UniProt-annotated Extracellular topological domain
Q9Y2G0,EFR3B,0,INTRACELLULAR,227,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cell membrane; cytoplasm, cytosol"
Q9Y2V7,COG6,0,INTRACELLULAR,321,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: golgi apparatus membrane"
Q9Y2X7,GIT1,0,INTRACELLULAR,598,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; synapse; presynapse; postsynapse; postsynaptic density; cell junction, focal adhesion; ce"
Q9Y3M8,STARD13,0,INTRACELLULAR,729,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: cytoplasm; membrane; mitochondrion membrane; lipid droplet"
Q9Y5U5,TNFRSF18,1,INTERMEDIATE,14,NOT_IN_ANNOTATED_DOMAIN,"Residue 14 not covered by any annotated topological domain (1 TM, 2 topo domains)"
Q9Y5X3,SNX5,0,INTRACELLULAR,367,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: endosome; early endosome; early endosome membrane; cell membrane; cytoplasmic vesicle membrane; cyto"
Q9Y5Y5,PEX16,2,INTRACELLULAR_POCKET,132,CYTOPLASMIC,Best pocket nucleophile at residue 132 lies in a Cytoplasmic topological domain
Q9Y5Y6,ST14,1,EXTRACELLULAR_POCKET,572,EXTRACELLULAR,Best pocket nucleophile at residue 572 lies in a UniProt-annotated Extracellular topological domain
Q9Y644,RFNG,1,INTERMEDIATE,314,LUMENAL,Best pocket nucleophile at residue 314 lies in a lumenal domain (organellar lumen; not directly extracellular)
Q9Y694,SLC22A7,12,UNKNOWN,79,NO_TOPOLOGY_ANNOTATION,12 TM helix(es) but no Topological-domain annotation in UniProt
Q9Y6I8,PXMP4,2,UNKNOWN,129,NO_TOPOLOGY_ANNOTATION,2 TM helix(es) but no Topological-domain annotation in UniProt
Q9Y6M5,SLC30A1,6,EXTRACELLULAR_POCKET,33,EXTRACELLULAR,Best pocket nucleophile at residue 33 lies in a UniProt-annotated Extracellular topological domain
Q9Y6M9,NDUFB9,0,INTRACELLULAR,118,INTRACELLULAR_PROTEIN,"No TM helix, no secreted/GPI/extracellular annotation; subcellular: mitochondrion inner membrane"
