uniprot_id,gene,protein_name,stratum,mean_plddt,pocket_id,pocket_volume,best_nucleophile_type,best_nuc_dist,best_nuc_sasa,best_nuc_plddt,nps,nas,scs,lcs,btr_score,category,cancer_expression,cancer_high,expression_norm,priority_score
Q8IVJ8,APRG1,APRG1 tumor suppressor candidate,S1_cancer_TM,42.94,2,243.0,LYS,5.15,195.11,41.16,0.8955,1.0,0.0,0.5,0.6884,medium,,False,,
Q8IVU1,IGDCC3,Immunoglobulin superfamily DCC subclass member 3,S3_singleTM,74.41,2,1110.4,THR,2.41,41.04,90.81,1.0,1.0,1.0,0.6,0.94,high,10.7,True,0.0061,0.6597
Q8IYU2,HACE1,E3 ubiquitin-protein ligase HACE1,S5_peripheral,83.55,2,995.6,SER,6.67,49.57,95.5,0.7573,1.0,1.0,0.49,0.8385,high,0.0,False,0.0,0.587
Q8IZV2,CMTM8,CKLF-like MARVEL transmembrane domain-containing protein 8,S4_multiTM,77.65,1,212.6,TYR,4.6,44.45,77.69,0.9455,1.0,0.5,0.9,0.8659,high,0.0,False,0.0,0.6061
Q8N565,MREG,Melanoregulin,S5_peripheral,71.92,1,1761.8,TYR,9.34,191.17,39.38,0.5145,1.0,0.0,0.63,0.5746,medium,0.0,False,0.0,0.4022
Q8N5S1,SLC25A41,Mitochondrial carrier protein SCaMC-3L,S4_multiTM,72.97,3,232.9,LYS,3.68,37.97,91.88,1.0,1.0,1.0,0.5,0.925,high,0.0,False,0.0,0.6475
Q8N5V2,NGEF,Ephexin-1,S5_peripheral,71.48,1,1366.9,TYR,8.28,40.12,96.81,0.6109,1.0,1.0,0.63,0.8083,high,58.2,True,0.0333,0.5739
Q8N653,LZTR1,Leucine-zipper-like transcriptional regulator 1,S2_cancer_nonTM,80.01,3,351.0,TYR,4.49,32.15,95.62,0.9555,1.0,1.0,0.9,0.9694,high,0.0,False,0.0,0.6786
Q8N9I5,FADS6,Fatty acid desaturase 6,S4_multiTM,90.59,1,776.2,TYR,6.54,54.69,97.31,0.7691,1.0,1.0,0.63,0.8637,high,,False,,
Q8NBI6,XXYLT1,Xyloside xylosyltransferase 1,S3_singleTM,83.97,2,543.4,CYS,6.78,30.66,98.69,0.7473,1.0,1.0,0.7,0.8665,high,0.0,False,0.0,0.6066
Q8NG94,OR11H1,Olfactory receptor 11H1,S4_multiTM,81.27,3,253.1,TYR,7.07,39.43,93.0,0.7209,1.0,1.0,0.63,0.8468,high,,False,,
Q8NGD3,OR4K5,Olfactory receptor 4K5,S4_multiTM,85.5,1,610.9,TYR,8.69,12.74,93.75,0.5736,0.137,1.0,0.63,0.5364,medium,0.0,False,0.0,0.3755
Q8NGP3,OR5M9,Olfactory receptor 5M9,S4_multiTM,89.86,2,337.5,TYR,5.29,129.36,87.75,0.8827,1.0,0.5,0.9,0.844,high,0.0,False,0.0,0.5908
Q8NI08,NCOA7,Nuclear receptor coactivator 7,S5_peripheral,55.63,3,3169.1,LYS,7.76,209.83,34.81,0.6582,1.0,0.0,0.35,0.5829,medium,0.0,False,0.0,0.408
Q8TAX9,GSDMB,Gasdermin-B,S4_multiTM,71.54,1,5329.1,TYR,7.24,76.15,87.12,0.7055,1.0,0.5,0.63,0.7414,high,0.0,False,0.0,0.519
Q8TCT6,SPPL3,Signal peptide peptidase-like 3,S4_multiTM,77.85,1,3783.4,TYR,7.94,110.11,94.56,0.6418,1.0,1.0,0.63,0.8191,high,0.0,False,0.0,0.5734
Q8TDQ0,HAVCR2,Hepatitis A virus cellular receptor 2,S1_cancer_TM,71.78,3,256.5,TYR,3.88,214.42,46.25,1.0,1.0,0.0,0.9,0.785,high,61.6,True,0.0353,0.5578
Q8TDW4,ST7L,Suppressor of tumorigenicity 7 protein-like,S1_cancer_TM,79.19,2,1113.8,THR,1.31,94.97,93.19,1.0,1.0,1.0,0.6,0.94,high,0.0,False,0.0,0.658
Q8WY98,TMEM234,Transmembrane protein 234,S4_multiTM,84.56,1,432.0,SER,5.27,60.79,78.0,0.8845,1.0,0.5,0.7,0.8146,high,0.0,False,0.0,0.5702
Q92523,CPT1B,"Carnitine O-palmitoyltransferase 1, muscle isoform",S4_multiTM,92.18,2,3800.2,TYR,7.13,56.06,96.81,0.7155,1.0,1.0,0.63,0.8449,high,57.0,True,0.0326,0.5997
Q969V1,MCHR2,Melanin-concentrating hormone receptor 2,S4_multiTM,88.85,1,1960.9,TYR,6.57,38.12,90.62,0.7664,1.0,1.0,0.63,0.8627,high,0.0,False,0.0,0.6039
Q96BI1,SLC67A1,Solute carrier family 67 member A1,S1_cancer_TM,86.91,1,2365.9,SER,5.66,78.02,86.19,0.8491,1.0,0.5,0.7,0.8022,high,0.0,False,0.0,0.5615
Q96JQ2,CLMN,Calmin,S3_singleTM,52.23,1,6145.9,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,False,0.0,0.0
Q96KR6,MIMS2,Mitochondrial inner membrane scaffold 2,S1_cancer_TM,67.39,2,374.6,TYR,5.44,27.39,83.88,0.8691,0.8695,0.5,0.9,0.8,high,0.0,True,0.0,0.56
Q96R08,OR5B12,Olfactory receptor 5B12,S4_multiTM,89.55,2,472.5,THR,2.32,76.95,90.5,1.0,1.0,1.0,0.6,0.94,high,0.0,False,0.0,0.658
Q96RJ3,TNFRSF13C,Tumor necrosis factor receptor superfamily member 13C,S1_cancer_TM,63.02,2,482.6,SER,5.91,88.77,51.34,0.8264,1.0,0.0,0.7,0.6942,medium,0.0,True,0.0,0.486
Q96SE0,ABHD1,Protein ABHD1,S3_singleTM,90.73,2,509.6,TYR,9.24,20.34,95.19,0.5236,0.517,1.0,0.63,0.6329,medium,0.0,True,0.0,0.443
Q96T83,SLC9A7,Sodium/hydrogen exchanger 7,S4_multiTM,67.14,3,408.4,SER,8.94,103.97,31.2,0.5509,1.0,0.0,0.49,0.5663,medium,0.0,False,0.0,0.3964
Q99732,LITAF,Lipopolysaccharide-induced tumor necrosis factor-alpha factor,S2_cancer_nonTM,69.58,1,1339.9,THR,4.15,93.05,87.25,0.9864,1.0,0.5,0.6,0.8352,high,0.0,False,0.0,0.5847
Q99961,SH3GL1,Endophilin-A2,S2_cancer_nonTM,83.89,1,1917.0,SER,9.9,71.28,92.38,0.4636,1.0,1.0,0.49,0.7358,high,0.0,False,0.0,0.515
Q9BRK0,REEP2,Receptor expression-enhancing protein 2,S4_multiTM,64.52,2,479.2,TYR,4.76,67.91,79.69,0.9309,1.0,0.5,0.9,0.8608,high,76.2,True,0.0436,0.6138
Q9BRQ8,AIFM2,Ferroptosis suppressor protein 1,S3_singleTM,95.56,1,2376.0,TYR,9.21,88.98,91.56,0.5264,1.0,1.0,0.63,0.7787,high,0.0,False,0.0,0.5451
Q9BSK0,MARVELD1,MARVEL domain-containing protein 1,S4_multiTM,85.26,0,,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,False,0.0,0.0
Q9BUH8,BEGAIN,Brain-enriched guanylate kinase-associated protein,S5_peripheral,55.9,2,867.4,CYS,8.27,127.71,42.53,0.6118,1.0,0.0,0.7,0.6191,medium,5.9,False,0.0034,0.434
Q9BZE9,ASPSCR1,Tether containing UBX domain for GLUT4,S2_cancer_nonTM,71.21,2,243.0,LYS,5.46,190.78,42.56,0.8673,1.0,0.0,0.5,0.6785,medium,0.0,False,0.0,0.475
Q9BZQ4,NMNAT2,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2,S5_peripheral,79.68,3,216.0,SER,5.97,32.67,98.12,0.8209,1.0,1.0,0.7,0.8923,high,0.0,False,0.0,0.6246
Q9GZV5,WWTR1,WW domain-containing transcription regulator protein 1,S2_cancer_nonTM,59.14,3,202.5,THR,2.24,140.01,50.38,1.0,1.0,0.0,0.6,0.74,high,0.0,True,0.0,0.518
Q9GZY4,COA1,Cytochrome c oxidase assembly factor 1 homolog,S3_singleTM,88.21,0,,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,True,0.0,0.0
Q9H0U3,MAGT1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1,S1_cancer_TM,85.86,2,425.2,THR,2.63,55.52,91.62,1.0,1.0,1.0,0.6,0.94,high,0.0,True,0.0,0.658
Q9H2S1,KCNN2,Small conductance calcium-activated potassium channel protein 2,S4_multiTM,76.48,1,11711.2,SER,6.15,22.9,84.44,0.8045,0.645,0.5,0.49,0.6486,medium,37.2,True,0.0213,0.4582
Q9H339,OR51B5,Olfactory receptor 51B5,S4_multiTM,89.57,2,361.1,TYR,8.58,39.12,92.38,0.5836,1.0,1.0,0.63,0.7988,high,0.0,False,0.0,0.5591
Q9H4D0,CLSTN2,Calsyntenin-2,S3_singleTM,78.94,3,1788.8,CYS,4.89,64.44,78.38,0.9191,1.0,0.5,1.0,0.8717,high,23.9,True,0.0137,0.6138
Q9HBX8,LGR6,Leucine-rich repeat-containing G protein-coupled receptor 6,S1_cancer_TM,77.38,3,1856.2,TYR,6.13,56.11,96.12,0.8064,1.0,1.0,0.63,0.8767,high,27.1,True,0.0155,0.6178
Q9HCC8,GDPD2,Glycerophosphodiester phosphodiesterase 3,S4_multiTM,90.39,3,644.6,LYS,4.41,57.92,94.88,0.9627,1.0,1.0,0.5,0.912,high,18.4,True,0.0105,0.6413
Q9HD42,CHMP1A,Charged multivesicular body protein 1a,S5_peripheral,77.91,1,2774.2,SER,5.56,70.17,88.62,0.8582,1.0,0.5,0.7,0.8054,high,0.0,False,0.0,0.5638
Q9NP84,TNFRSF12A,Tumor necrosis factor receptor superfamily member 12A,S1_cancer_TM,73.22,3,222.8,SER,8.52,58.97,90.56,0.5891,1.0,1.0,0.49,0.7797,high,0.0,True,0.0,0.5458
Q9NP99,TREM1,Triggering receptor expressed on myeloid cells 1,S3_singleTM,71.59,3,921.4,LYS,4.36,141.17,69.81,0.9673,1.0,0.0,0.5,0.7135,high,59.5,True,0.0341,0.5068
Q9NPC4,A4GALT,Lactosylceramide 4-alpha-galactosyltransferase,S3_singleTM,89.26,1,2568.4,TYR,5.24,69.4,95.31,0.8873,1.0,1.0,0.9,0.9455,high,0.0,False,0.0,0.6619
Q9NPF0,CD320,CD320 antigen,S3_singleTM,63.82,3,580.5,THR,8.88,82.93,82.19,0.5564,1.0,0.5,0.42,0.6577,medium,0.0,False,0.0,0.4604
Q9NQ90,ANO2,Anoctamin-2,S4_multiTM,73.63,2,202.5,LYS,4.69,214.37,37.34,0.9373,1.0,0.0,0.5,0.703,high,8.7,False,0.005,0.4932
Q9NXI6,RNF186,E3 ubiquitin-protein ligase RNF186,S4_multiTM,68.13,1,3074.6,TYR,7.11,14.83,88.81,0.7173,0.2415,0.5,0.63,0.518,medium,29.7,True,0.017,0.3652
Q9NY59,SMPD3,Sphingomyelin phosphodiesterase 3,S5_peripheral,74.97,1,17465.6,LYS,7.14,107.56,98.19,0.7145,1.0,1.0,0.35,0.8026,high,0.0,False,0.0,0.5618
Q9NYA1,SPHK1,Sphingosine kinase 1,S5_peripheral,91.14,1,1596.4,TYR,4.69,46.52,98.56,0.9373,1.0,1.0,0.9,0.963,high,0.0,False,0.0,0.6741
Q9NYW0,TAS2R10,Taste receptor type 2 member 10,S4_multiTM,87.19,2,546.8,TYR,5.79,45.52,92.75,0.8373,1.0,1.0,0.9,0.928,high,0.0,False,0.0,0.6496
Q9NZP6,NPAP1,Nuclear pore-associated protein 1,S5_peripheral,36.57,3,2804.6,LYS,7.23,207.5,35.44,0.7064,1.0,0.0,0.35,0.5997,medium,0.0,False,0.0,0.4198
Q9NZQ3,NCKIPSD,NCK-interacting protein with SH3 domain,S2_cancer_nonTM,75.22,3,253.1,SER,1.42,42.77,94.94,1.0,1.0,1.0,0.7,0.955,high,0.0,False,0.0,0.6685
Q9P126,CLEC1B,C-type lectin domain family 1 member B,S3_singleTM,88.18,1,232.9,TYR,3.77,70.57,93.62,1.0,1.0,1.0,0.9,0.985,high,0.0,False,0.0,0.6895
Q9P2D0,IBTK,Inhibitor of Bruton tyrosine kinase,S5_peripheral,70.71,2,718.9,TYR,6.31,176.16,42.47,0.79,1.0,0.0,0.63,0.671,medium,0.0,False,0.0,0.4697
Q9UBN6,TNFRSF10D,Tumor necrosis factor receptor superfamily member 10D,S1_cancer_TM,60.96,2,2156.6,THR,4.81,113.6,94.69,0.9264,1.0,1.0,0.6,0.9142,high,0.0,False,0.0,0.64
Q9UEF7,KL,Klotho,S1_cancer_TM,89.09,1,10148.6,TYR,7.7,49.4,94.12,0.6636,1.0,1.0,0.63,0.8268,high,28.3,True,0.0162,0.5828
Q9UHY1,NRBP1,Nuclear receptor-binding protein,S5_peripheral,75.23,2,276.8,CYS,3.95,47.5,88.0,1.0,1.0,0.5,1.0,0.9,high,0.0,False,0.0,0.63
Q9UIR0,BTNL2,Butyrophilin-like protein 2,S3_singleTM,85.86,1,415.1,TYR,5.01,40.18,87.25,0.9082,1.0,0.5,0.9,0.8529,high,,False,,
Q9UJM3,ERRFI1,ERBB receptor feedback inhibitor 1,S2_cancer_nonTM,56.55,3,259.9,TYR,5.75,207.91,53.56,0.8409,1.0,0.0,0.9,0.7293,high,0.0,False,0.0,0.5105
Q9UL54,TAOK2,Serine/threonine-protein kinase TAO2,S4_multiTM,66.4,1,3594.4,,,,,0.0,0.0,0.0,0.0,0.0,low,0.0,False,0.0,0.0
Q9UN73,PCDHA6,Protocadherin alpha-6,S3_singleTM,73.74,3,1761.8,SER,9.58,77.01,69.94,0.4927,1.0,0.0,0.49,0.546,medium,0.0,False,0.0,0.3822
Q9UQ26,RIMS2,Regulating synaptic membrane exocytosis protein 2,S5_peripheral,54.51,3,907.9,THR,3.52,102.13,35.22,1.0,1.0,0.0,0.6,0.74,high,0.0,True,0.0,0.518
Q9UQ49,NEU3,Sialidase-3,S5_peripheral,86.83,3,216.0,SER,5.96,96.2,33.53,0.8218,1.0,0.0,0.7,0.6926,medium,0.0,False,0.0,0.4848
Q9Y250,LZTS1,Leucine zipper putative tumor suppressor 1,S2_cancer_nonTM,68.14,1,1495.1,CYS,5.6,74.29,97.69,0.8545,1.0,1.0,1.0,0.9491,high,99.3,True,0.0569,0.6806
Q9Y275,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,S1_cancer_TM,78.36,2,317.2,TYR,9.1,72.56,98.12,0.5364,1.0,1.0,0.63,0.7822,high,0.0,False,0.0,0.5476
Q9Y2G0,EFR3B,Protein EFR3 homolog B,S5_peripheral,81.77,2,1417.5,SER,5.67,34.25,88.81,0.8482,1.0,0.5,0.7,0.8019,high,10.9,True,0.0062,0.5628
Q9Y2V7,COG6,Conserved oligomeric Golgi complex subunit 6,S5_peripheral,85.95,2,229.5,SER,7.89,37.74,93.0,0.6464,1.0,1.0,0.49,0.7997,high,0.0,False,0.0,0.5598
Q9Y2X7,GIT1,ARF GTPase-activating protein GIT1,S5_peripheral,74.2,3,391.5,TYR,4.78,205.31,39.12,0.9291,1.0,0.0,0.9,0.7602,high,0.0,False,0.0,0.5321
Q9Y3M8,STARD13,StAR-related lipid transfer protein 13,S2_cancer_nonTM,65.06,3,293.6,TYR,8.25,47.67,98.25,0.6136,1.0,1.0,0.63,0.8093,high,0.0,False,0.0,0.5665
Q9Y5U5,TNFRSF18,Tumor necrosis factor receptor superfamily member 18,S1_cancer_TM,74.4,2,745.9,CYS,4.75,53.93,74.62,0.9318,1.0,0.5,1.0,0.8761,high,0.0,False,0.0,0.6133
Q9Y5X3,SNX5,Sorting nexin-5,S5_peripheral,87.03,3,212.6,LYS,3.43,115.2,91.81,1.0,1.0,1.0,0.5,0.925,high,0.0,True,0.0,0.6475
Q9Y5Y5,PEX16,Peroxisomal membrane protein PEX16,S4_multiTM,82.96,3,344.2,LYS,3.16,161.9,85.12,1.0,1.0,0.5,0.5,0.825,high,0.0,False,0.0,0.5775
Q9Y5Y6,ST14,Suppressor of tumorigenicity 14 protein,S1_cancer_TM,80.85,1,604.1,TYR,5.0,28.68,71.81,0.9091,0.934,0.5,0.9,0.8334,high,0.0,False,0.0,0.5834
Q9Y644,RFNG,"Beta-1,3-N-acetylglucosaminyltransferase radical fringe",S3_singleTM,87.41,3,283.5,TYR,8.3,41.56,96.75,0.6091,1.0,1.0,0.63,0.8077,high,0.0,False,0.0,0.5654
Q9Y694,SLC22A7,Solute carrier family 22 member 7,S4_multiTM,85.03,2,2183.6,SER,5.39,32.5,84.25,0.8736,1.0,0.5,0.7,0.8108,high,164.0,True,0.0939,0.5904
Q9Y6I8,PXMP4,Peroxisomal membrane protein 4,S4_multiTM,91.82,1,2025.0,TYR,1.51,121.06,95.38,1.0,1.0,1.0,0.9,0.985,high,0.0,False,0.0,0.6895
Q9Y6M5,SLC30A1,Proton-coupled zinc antiporter SLC30A1,S4_multiTM,67.4,2,1194.8,SER,5.83,30.61,93.38,0.8336,1.0,1.0,0.7,0.8968,high,0.0,False,0.0,0.6277
Q9Y6M9,NDUFB9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,S5_peripheral,95.74,1,536.6,TYR,2.91,117.63,98.25,1.0,1.0,1.0,0.9,0.985,high,0.0,False,0.0,0.6895
