uniprot_id,entry_id,gene,protein_name,length,subcellular_location,ensembl_ids,n_binding_sites,binding_sites,keywords,disease,n_transmem
Q9HCS2,CP4FC_HUMAN,CYP4F12,Cytochrome P450 4F12,524,Endoplasmic reticulum membrane; Microsome membrane;,ENST00000324632.10;ENST00000517734.5;ENST00000548435.5;ENST00000550308.6;ENST00000893772.1;ENST00000893779.1,1,468:heme,Alternative splicing;Endoplasmic reticulum;Fatty acid metabolism;Heme;Iron;Lipid metabolism;Membrane;Metal-binding;Microsome;Monooxygenase;Oxidoreductase;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,2
Q9NUH8,TM14B_HUMAN,TMEM14B,Transmembrane protein 14B,114,Membrane;,ENST00000379530.7;ENST00000379542.10;ENST00000877759.1;ENST00000877760.1;ENST00000932246.1;ENST00000932247.1;ENST00000932249.1;ENST00000932250.1;ENST00000932251.1;ENST00000932252.1;ENST00000932253.1;ENST00000932254.1;ENST00000932255.1;ENST00000932256.1;ENST00000932257.1,0,,Alternative splicing;Developmental protein;Membrane;Neurogenesis;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,4
Q9NV12,TM140_HUMAN,TMEM140,Transmembrane protein 140,185,Membrane;,ENST00000275767.3;ENST00000873393.1;ENST00000873394.1;ENST00000968393.1,0,,Glycoprotein;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,4
Q9NX94,WBP1L_HUMAN,WBP1L,WW domain binding protein 1-like,342,Membrane;,ENST00000369889.5;ENST00000448841.7,0,,Alternative splicing;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,1
Q9NYR8,RDH8_HUMAN,RDH8,Retinol dehydrogenase 8,311,Membrane;,ENST00000591589.3,2,9:NADP(+);142:substrate,Lipid metabolism;Membrane;NADP;Oxidoreductase;Proteomics identification;Reference proteome;Sensory transduction;Stargardt disease;Transmembrane;Transmembrane helix;Vision,Stargardt disease 5;,3
Q9NYZ1,TV23B_HUMAN,TVP23B,Golgi apparatus membrane protein TVP23 homolog B,205,Membrane;,ENST00000307767.13,0,,Acetylation;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,4
Q9UNX9,KCJ14_HUMAN,KCNJ14,ATP-sensitive inward rectifier potassium channel 14,436,Membrane;,ENST00000342291.3;ENST00000391884.2,0,,Ion channel;Ion transport;Membrane;Potassium;Potassium transport;Proteomics identification;Reference proteome;S-nitrosylation;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,,2
Q86Y82,STX12_HUMAN,STX12,Syntaxin-12,276,Endosome membrane; Golgi apparatus membrane; Endomembrane system; Early endosome membrane; Recycling endosome membrane;,ENST00000373943.9,0,,3D-structure;Acetylation;Coiled coil;Endosome;Golgi apparatus;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,,1
Q5T9L3,WLS_HUMAN,WLS,Protein wntless homolog,541,Golgi apparatus membrane; Cytoplasmic vesicle membrane; Cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Early endosome membrane;,ENST00000262348.9;ENST00000354777.6;ENST00000370976.7,0,,3D-structure;Alternative splicing;Cell membrane;Cytoplasmic vesicle;Developmental protein;Disease variant;Endoplasmic reticulum;Endosome;Glycoprotein;Golgi apparatus;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Wnt signaling pathway,Zaki syndrome;,8
P18507,GBRG2_HUMAN,GABRG2,Gamma-aminobutyric acid receptor subunit gamma-2,475,"Postsynaptic cell membrane; Cell membrane; Cell projection, dendrite; Cytoplasmic vesicle membrane;",ENST00000414552.6;ENST00000639111.2;ENST00000639213.2,0,,3D-structure;Alternative splicing;Cell membrane;Cell projection;Chloride;Chloride channel;Cytoplasmic vesicle;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Ion channel;Ion transport;Lipoprotein;Membrane;Palmitate;Postsynaptic cell membrane;Proteomics identification;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport,"Developmental and epileptic encephalopathy 74; Epilepsy, childhood absence 2; Febrile seizures, familial, 8; Generalized epilepsy with febrile seizures plus 3;",4
P47869,GBRA2_HUMAN,GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2,451,"Postsynaptic cell membrane; Cell membrane; Cytoplasmic vesicle membrane; Cell projection, dendrite;",ENST00000356504.5;ENST00000381620.9;ENST00000510861.5;ENST00000514090.5;ENST00000863563.1;ENST00000863564.1;ENST00000863568.1;ENST00000960092.1;ENST00000960093.1,2,94:4-aminobutanoate;157:4-aminobutanoate,3D-structure;Alternative splicing;Cell membrane;Cell projection;Chloride;Chloride channel;Cytoplasmic vesicle;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Ion channel;Ion transport;Ligand-gated ion channel;Membrane;Postsynaptic cell membrane;Proteomics identification;Receptor;Reference proteome;Signal;Synapse;Transmembrane;Transmembrane helix;Transport,Developmental and epileptic encephalopathy 78;,4
Q9NZC3,GDE1_HUMAN,GDE1,Glycerophosphodiester phosphodiesterase 1,331,Cell membrane; Cytoplasmic vesicle membrane;,ENST00000353258.8,3,97:Mg(2+);99:Mg(2+);174:Mg(2+),Cell membrane;Cytoplasmic vesicle;Glycoprotein;Hydrolase;Lipid metabolism;Magnesium;Membrane;Metal-binding;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,2
Q4VNC1,AT134_HUMAN,ATP13A4,Probable cation-transporting ATPase 13A4,1196,Endoplasmic reticulum; Early endosome membrane; Late endosome membrane; Recycling endosome membrane;,ENST00000295548.3;ENST00000342695.9;ENST00000400270.6,2,848:Mg(2+);852:Mg(2+),Alternative splicing;ATP-binding;Chromosomal rearrangement;Endoplasmic reticulum;Endosome;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Proteomics identification;Reference proteome;Translocase;Transmembrane;Transmembrane helix,;,10
O14569,C56D2_HUMAN,CYB561D2,Transmembrane reductase CYB561D2,222,Endoplasmic reticulum membrane; Cytoplasmic vesicle membrane;,ENST00000232508.9;ENST00000418577.1;ENST00000424512.5;ENST00000425346.6;ENST00000903835.1;ENST00000903836.1;ENST00000903838.1,4,48:heme b;86:heme b;120:heme b;159:heme b,Cytoplasmic vesicle;Direct protein sequencing;Electron transport;Endoplasmic reticulum;Heme;Iron;Membrane;Metal-binding;Proteomics identification;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport,,6
P04001,OPSG_HUMAN,OPN1MW,Medium-wave-sensitive opsin 1,364,Cell membrane; Photoreceptor outer segment membrane;,ENST00000369929.8;ENST00000595290.6;ENST00000599405.4,0,,3D-structure;Cell membrane;Cell projection;Chromophore;Disease variant;Disulfide bond;G protein-coupled receptor;Glycoprotein;Membrane;Phosphoprotein;Photoreceptor protein;Receptor;Reference proteome;Retinal protein;Sensory transduction;Transducer;Transmembrane;Transmembrane helix;Vision,"Colorblindness, partial, deutan series; Blue cone monochromacy; Cone dystrophy 5;",7
Q53HI1,UNC50_HUMAN,UNC50,Protein unc-50 homolog,259,Nucleus inner membrane; Golgi apparatus membrane;,ENST00000357765.7;ENST00000903454.1;ENST00000903455.1;ENST00000903456.1;ENST00000917837.1;ENST00000917839.1;ENST00000945505.1;ENST00000945506.1;ENST00000945507.1;ENST00000945508.1;ENST00000945509.1,0,,Acetylation;Golgi apparatus;Membrane;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;RNA-binding;Transmembrane;Transmembrane helix,,5
Q7Z614,SNX20_HUMAN,SNX20,Sorting nexin-20,316,Early endosome membrane; Cell membrane; Cytoplasm; Nucleus;,ENST00000300590.7;ENST00000330943.9;ENST00000423026.6;ENST00000568993.5;ENST00000890682.1;ENST00000890683.1,4,"116:a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate);118:a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate);143:a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate);157:a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-3-phosphate)",Alternative splicing;Cell membrane;Cytoplasm;Endosome;Lipid-binding;Membrane;Nucleus;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transport,,0
Q9BTD3,TM121_HUMAN,TMEM121,Transmembrane protein 121,319,Membrane;,ENST00000392519.7;ENST00000903730.1;ENST00000903731.1;ENST00000903732.1;ENST00000903733.1;ENST00000903734.1;ENST00000903735.1;ENST00000941521.1;ENST00000941522.1;ENST00000941523.1,0,,Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,7
Q9H156,SLIK2_HUMAN,SLITRK2,SLIT and NTRK-like protein 2,845,"Membrane; Cell membrane; Cell projection, dendrite;",ENST00000335565.6;ENST00000370490.1;ENST00000867861.1;ENST00000867862.1;ENST00000867863.1;ENST00000867864.1;ENST00000867865.1;ENST00000867866.1;ENST00000867867.1;ENST00000867868.1;ENST00000867869.1;ENST00000966678.1;ENST00000966679.1;ENST00000966680.1,0,,Alternative splicing;Cell membrane;Cell projection;Disease variant;Disulfide bond;Glycoprotein;Intellectual disability;Leucine-rich repeat;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix,"Intellectual developmental disorder, X-linked 111;",1
Q8WWZ7,ABCA5_HUMAN,ABCA5,Cholesterol transporter ABCA5,1642,Golgi apparatus membrane; Lysosome membrane; Late endosome membrane; Cell membrane;,ENST00000392676.8;ENST00000588877.5;ENST00000915134.1;ENST00000957310.1;ENST00000957311.1,2,514:ATP;1333:ATP,Alternative splicing;ATP-binding;Cell membrane;Endosome;Glycoprotein;Golgi apparatus;Lipid transport;Lysosome;Membrane;Nucleotide-binding;Proteomics identification;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport,,15
O15121,DEGS1_HUMAN,DEGS1,Sphingolipid delta(4)-desaturase DES1,323,Mitochondrion membrane; Endoplasmic reticulum membrane;,ENST00000323699.9,0,,Disease variant;Endoplasmic reticulum;Fatty acid biosynthesis;Fatty acid metabolism;Isomerase;Leukodystrophy;Lipid biosynthesis;Lipid metabolism;Lipoprotein;Membrane;Mitochondrion;Myristate;Oxidoreductase;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,"Leukodystrophy, hypomyelinating, 18;",6
O75452,RDH16_HUMAN,RDH16,Retinol dehydrogenase 16,317,Microsome membrane; Endoplasmic reticulum membrane;,ENST00000398138.5;ENST00000869321.1;ENST00000869322.1,2,33:NAD(+);164:substrate,Endoplasmic reticulum;Lipid metabolism;Membrane;Microsome;NAD;Oxidoreductase;Proteomics identification;Reference proteome;Steroid metabolism;Transmembrane;Transmembrane helix,,1
Q6PJF5,RHDF2_HUMAN,RHBDF2,Inactive rhomboid protein 2,856,Endoplasmic reticulum membrane; Cell membrane;,ENST00000313080.8;ENST00000591885.5;ENST00000675367.1;ENST00000878658.1;ENST00000878660.1;ENST00000878661.1;ENST00000878662.1;ENST00000878663.1;ENST00000878664.1;ENST00000878665.1;ENST00000878666.1;ENST00000878667.1;ENST00000878668.1;ENST00000878669.1;ENST00000933649.1,0,,3D-structure;Alternative splicing;Cell membrane;Disease variant;Endoplasmic reticulum;Growth factor binding;Membrane;Palmoplantar keratoderma;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,Tylosis with esophageal cancer;,7
Q7Z7G8,VP13B_HUMAN,VPS13B,Intermembrane lipid transfer protein VPS13B,4022,"Recycling endosome membrane; Cytoplasmic vesicle, secretory vesicle, acrosome membrane; Golgi apparatus, cis-Golgi network membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane; Golgi apparatus, trans-Golgi network membrane; Early endosome membrane; Lysosome membrane;",ENST00000357162.7;ENST00000358544.7;ENST00000441350.2;ENST00000496144.5,0,,Alternative splicing;Cytoplasmic vesicle;Disease variant;Endosome;Golgi apparatus;Lipid transport;Lipid-binding;Lysosome;Membrane;Obesity;Phosphoprotein;Proteomics identification;Reference proteome;Transport,Cohen syndrome;,0
Q9Y6J6,KCNE2_HUMAN,KCNE2,Potassium voltage-gated channel subfamily E member 2,123,Cell membrane; Apical cell membrane;,ENST00000290310.4;ENST00000715813.1,0,,3D-structure;Atrial fibrillation;Cell membrane;Disease variant;Glycoprotein;Ion channel;Ion transport;Long QT syndrome;Membrane;Potassium;Potassium channel;Potassium transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,"Long QT syndrome 6; Atrial fibrillation, familial, 4;",1
P35354,PGH2_HUMAN,PTGS2,Prostaglandin G/H synthase 2,604,Microsome membrane; Endoplasmic reticulum membrane; Nucleus inner membrane; Nucleus outer membrane;,ENST00000367468.10;ENST00000680451.1,3,106:substrate;341:substrate;374:heme b,3D-structure;Acetylation;Dioxygenase;Disulfide bond;Endoplasmic reticulum;Fatty acid biosynthesis;Fatty acid metabolism;Glycoprotein;Heme;Iron;Lipid biosynthesis;Lipid metabolism;Membrane;Metal-binding;Microsome;Nucleus;Oxidoreductase;Peroxidase;Prostaglandin biosynthesis;Prostaglandin metabolism;Proteomics identification;Reference proteome;S-nitrosylation;Signal,,0
Q9NQ40,S52A3_HUMAN,SLC52A3,"Solute carrier family 52, riboflavin transporter, member 3",469,Apical cell membrane; Cell membrane; Cell membrane; Nucleus membrane; Cytoplasm; Cytoplasm;,ENST00000217254.11;ENST00000381944.5;ENST00000488495.3;ENST00000645534.1;ENST00000906489.1;ENST00000906490.1;ENST00000906491.1;ENST00000906492.1;ENST00000906493.1;ENST00000906494.1;ENST00000906495.1;ENST00000937376.1;ENST00000937377.1;ENST00000937378.1;ENST00000942447.1;ENST00000942448.1;ENST00000942449.1,0,,3D-structure;Alternative splicing;Cell membrane;Cytoplasm;Deafness;Disease variant;Disulfide bond;Glycoprotein;Membrane;Nucleus;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,Brown-Vialetto-Van Laere syndrome 1; Fazio-Londe disease;,11
Q9UEU0,VTI1B_HUMAN,VTI1B,Vesicle transport through interaction with t-SNAREs homolog 1B,232,Early endosome membrane; Late endosome membrane; Lysosome membrane; Cytoplasmic granule; Recycling endosome membrane;,ENST00000554659.6,0,,3D-structure;Acetylation;Alternative splicing;Coiled coil;Endosome;Lysosome;Membrane;Methylation;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,,1
Q8NHE4,VA0E2_HUMAN,ATP6V0E2,V-type proton ATPase subunit e 2,81,"Membrane; Cytoplasmic vesicle, clathrin-coated vesicle membrane; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane;",ENST00000421974.7;ENST00000425642.3;ENST00000456496.7;ENST00000464662.5;ENST00000471877.5;ENST00000479613.5;ENST00000606024.5;ENST00000649866.2;ENST00000887566.1;ENST00000887567.1;ENST00000938384.1;ENST00000958031.1,0,,Alternative splicing;Cytoplasmic vesicle;Glycoprotein;Hydrogen ion transport;Ion transport;Membrane;Proteomics identification;Reference proteome;Synapse;Transmembrane;Transmembrane helix;Transport,,2
H3BS89,T178B_HUMAN,TMEM178B,Transmembrane protein 178B,294,Membrane;,ENST00000565468.6,0,,Glycoprotein;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix,,3
O14828,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,347,Membrane;,ENST00000302631.8;ENST00000355379.3;ENST00000570831.5;ENST00000573013.1,0,,Alternative splicing;Isopeptide bond;Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Ubl conjugation,,4
O75841,UPK1B_HUMAN,UPK1B,Uroplakin-1b,260,Membrane;,ENST00000264234.8;ENST00000863546.1,0,,Glycoprotein;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,4
O95870,ABHGA_HUMAN,ABHD16A,Phosphatidylserine lipase ABHD16A,558,Membrane;,ENST00000395952.8;ENST00000440843.2;ENST00000446529.6;ENST00000548592.1;ENST00000549722.1;ENST00000549853.1;ENST00000550556.1;ENST00000551038.1;ENST00000552042.1,0,,Alternative splicing;Direct protein sequencing;Disease variant;Hereditary spastic paraplegia;Hydrolase;Lipid metabolism;Membrane;Neurodegeneration;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,"Spastic paraplegia 86, autosomal recessive;",2
P47804,RGR_HUMAN,RGR,RPE-retinal G protein-coupled receptor,291,Membrane;,ENST00000358110.7;ENST00000359452.9;ENST00000652092.2,0,,Alternative splicing;Chromophore;Disease variant;Disulfide bond;G protein-coupled receptor;Glycoprotein;Membrane;Photoreceptor protein;Proteomics identification;Receptor;Reference proteome;Retinal protein;Retinitis pigmentosa;Sensory transduction;Transducer;Transmembrane;Transmembrane helix;Vision,Retinitis pigmentosa 44;,7
P54852,EMP3_HUMAN,EMP3,Epithelial membrane protein 3,163,Membrane;,ENST00000270221.11;ENST00000597279.5;ENST00000850572.1;ENST00000859923.1;ENST00000859924.1;ENST00000859925.1;ENST00000859926.1;ENST00000859927.1;ENST00000859929.1;ENST00000935119.1;ENST00000964536.1,0,,Glycoprotein;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,4
P57738,TCTA_HUMAN,TCTA,T-cell leukemia translocation-altered gene protein,103,Membrane;,ENST00000273590.4,0,,Acetylation;Chromosomal rearrangement;Glycoprotein;Membrane;Proteomics identification;Proto-oncogene;Reference proteome;Transmembrane;Transmembrane helix,;,2
P81408,EREP3_HUMAN,ENTREP3,Protein ENTREP3,668,Membrane;,ENST00000350210.6;ENST00000361361.7;ENST00000368368.7;ENST00000572488.5;ENST00000574749.5;ENST00000575430.5;ENST00000851432.1,0,,Alternative splicing;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,4
Q12908,NTCP2_HUMAN,SLC10A2,Ileal sodium/bile acid cotransporter,348,Membrane;,ENST00000245312.5,0,,Disease variant;Glycoprotein;Ion transport;Lipid transport;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Sodium;Sodium transport;Symport;Transmembrane;Transmembrane helix;Transport,"Bile acid malabsorption, primary, 1;",7
Q13033,STRN3_HUMAN,STRN3,Striatin-3,797,Cytoplasm; Membrane;,ENST00000355683.9;ENST00000357479.10,0,,3D-structure;Acetylation;Alternative splicing;Calmodulin-binding;Coiled coil;Cytoplasm;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;WD repeat,,0
Q13370,PDE3B_HUMAN,PDE3B,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3B",1112,Membrane;,ENST00000282096.9;ENST00000455098.3,9,737:AMP;741:Mg(2+);821:Mg(2+);822:AMP;822:Mg(2+);822:Mg(2+);937:AMP;937:Mg(2+);988:AMP,3D-structure;Alternative splicing;Angiogenesis;cAMP;cGMP;Hydrolase;Magnesium;Membrane;Metal-binding;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,6
Q14654,KCJ11_HUMAN,KCNJ11,ATP-sensitive inward rectifier potassium channel 11,390,Membrane;,ENST00000339994.5;ENST00000528731.1;ENST00000682350.1;ENST00000682764.1;ENST00000948565.1,6,"48:ATP;50:ATP;130:K(+);133:K(+);176:a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol-4,5-bisphosphate);330:ATP",3D-structure;Alternative splicing;ATP-binding;Diabetes mellitus;Disease variant;Disulfide bond;Ion channel;Ion transport;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Potassium;Potassium transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,"Hyperinsulinemic hypoglycemia, familial, 2; Diabetes mellitus, permanent neonatal, 2; Diabetes mellitus, transient neonatal, 3; ; Maturity-onset diabetes of the young 13;",2
Q14656,TM187_HUMAN,TMEM187,Transmembrane protein 187,261,Membrane;,ENST00000369982.5;ENST00000855602.1;ENST00000855603.1;ENST00000855604.1,0,,Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,6
Q14D33,RTP5_HUMAN,RTP5,Receptor-transporting protein 5,572,Membrane;,ENST00000343216.3;ENST00000617264.2,0,,Membrane;Metal-binding;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Zinc;Zinc-finger,,1
Q15878,CAC1E_HUMAN,CACNA1E,Voltage-dependent R-type calcium channel subunit alpha-1E,2313,Membrane;,ENST00000367570.6;ENST00000367573.7;ENST00000621791.4,7,426:Ca(2+);428:Ca(2+);430:Ca(2+);432:Ca(2+);1752:Ca(2+);1758:Ca(2+);1763:Ca(2+),3D-structure;Alternative splicing;Calcium;Calcium channel;Calcium transport;Disease variant;Disulfide bond;Epilepsy;Glycoprotein;Ion channel;Ion transport;Membrane;Metal-binding;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,Developmental and epileptic encephalopathy 69;,24
Q16322,KCA10_HUMAN,KCNA10,Potassium voltage-gated channel subfamily A member 10,511,Membrane;,ENST00000369771.4,0,,Glycoprotein;Ion channel;Ion transport;Lipoprotein;Membrane;Palmitate;Potassium;Potassium channel;Potassium transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,,6
Q6ICL7,S35E4_HUMAN,SLC35E4,Solute carrier family 35 member E4,350,Membrane;,ENST00000343605.5;ENST00000406566.1,0,,Alternative splicing;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,8
Q6PL45,BRID5_HUMAN,BRICD5,BRICHOS domain-containing protein 5,260,Membrane;,ENST00000328540.8;ENST00000562360.5,0,,Alternative splicing;Disulfide bond;Glycoprotein;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,2
Q7Z429,LFG1_HUMAN,GRINA,Protein lifeguard 1,371,Membrane;,ENST00000313269.5;ENST00000395068.9;ENST00000857578.1;ENST00000857588.1;ENST00000857589.1,0,,Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,7
Q7Z769,S35E3_HUMAN,SLC35E3,Solute carrier family 35 member E3,313,Membrane;,ENST00000398004.4,0,,Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,9
Q86SQ6,AGRA1_HUMAN,ADGRA1,Adhesion G protein-coupled receptor A1,560,Membrane;,ENST00000392606.2;ENST00000392607.8;ENST00000864054.1,0,,Alternative splicing;G protein-coupled receptor;Glycoprotein;Membrane;Proteomics identification;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,,7
Q86W74,ANR46_HUMAN,ANKRD46,Ankyrin repeat domain-containing protein 46,228,Membrane;,ENST00000335659.7;ENST00000519597.5;ENST00000520311.5;ENST00000520552.5;ENST00000862175.1;ENST00000862176.1;ENST00000862177.1;ENST00000862178.1;ENST00000862179.1;ENST00000862180.1;ENST00000862181.1;ENST00000862182.1;ENST00000862183.1;ENST00000862184.1;ENST00000862185.1;ENST00000862186.1;ENST00000862187.1;ENST00000862188.1;ENST00000862189.1;ENST00000862190.1;ENST00000862191.1;ENST00000940151.1;ENST00000946478.1;ENST00000946479.1;ENST00000946480.1;ENST00000946481.1;ENST00000946482.1;ENST00000946483.1,0,,Alternative splicing;ANK repeat;Membrane;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix,,1
Q8IUA7,ABCA9_HUMAN,ABCA9,ATP-binding cassette sub-family A member 9,1624,Membrane;,ENST00000340001.9;ENST00000495634.5,2,517:ATP;1326:ATP,Alternative splicing;ATP-binding;Glycoprotein;Membrane;Nucleotide-binding;Proteomics identification;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport,,14
Q8NFP9,NBEA_HUMAN,NBEA,Neurobeachin,2946,Cytoplasm; Membrane;,ENST00000400445.8;ENST00000537702.6;ENST00000685329.1;ENST00000685686.1;ENST00000686741.1;ENST00000686952.1;ENST00000689454.1;ENST00000693262.1,0,,3D-structure;Alternative splicing;Cytoplasm;Disease variant;Epilepsy;Intellectual disability;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;WD repeat,Neurodevelopmental disorder with or without early-onset generalized epilepsy;,0
Q8WV19,SFT2A_HUMAN,SFT2D1,Vesicle transport protein SFT2A,159,Membrane;,ENST00000361731.4,0,,Membrane;Phosphoprotein;Protein transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport,,4
Q8WW34,TM239_HUMAN,TMEM239,Transmembrane protein 239,195,Membrane;,ENST00000361033.1;ENST00000380585.2,0,,Alternative splicing;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,2
Q8WWZ4,ABCAA_HUMAN,ABCA10,ATP-binding cassette sub-family A member 10,1543,Membrane;,ENST00000269081.8;ENST00000522406.5;ENST00000523512.5;ENST00000690296.1,2,427:ATP;1239:ATP,Alternative splicing;ATP-binding;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transmembrane;Transmembrane helix;Transport,,15
Q8WXI2,CNKR2_HUMAN,CNKSR2,Connector enhancer of kinase suppressor of ras 2,1034,Cytoplasm; Membrane;,ENST00000379510.5;ENST00000425654.7;ENST00000543067.6;ENST00000642359.1,0,,3D-structure;Alternative splicing;Coiled coil;Cytoplasm;Disease variant;Intellectual disability;Membrane;Phosphoprotein;Proteomics identification;Reference proteome,"Intellectual developmental disorder, X-linked, syndromic, Houge type;",0
Q8WY98,TM234_HUMAN,TMEM234,Transmembrane protein 234,164,Membrane;,ENST00000309777.11;ENST00000344461.7;ENST00000373593.5;ENST00000461402.5;ENST00000489170.5;ENST00000491434.5,0,,Alternative splicing;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,,3
Q8WZA2,RPGF4_HUMAN,RAPGEF4,Rap guanine nucleotide exchange factor 4,1011,Cytoplasm; Membrane;,ENST00000397081.8;ENST00000397087.7;ENST00000538974.5;ENST00000540783.5,2,"422:3',5'-cyclic AMP;432:3',5'-cyclic AMP",Alternative promoter usage;Alternative splicing;cAMP;cAMP-binding;Cytoplasm;Exocytosis;Guanine-nucleotide releasing factor;Membrane;Nucleotide-binding;Proteomics identification;Reference proteome;Repeat,,0
Q92806,KCNJ9_HUMAN,KCNJ9,G protein-activated inward rectifier potassium channel 3,393,Membrane;,ENST00000368088.4;ENST00000864453.1;ENST00000864454.1;ENST00000864455.1;ENST00000864456.1;ENST00000864457.1,0,,3D-structure;Ion channel;Ion transport;Membrane;Potassium;Potassium transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,,2
Q96BZ9,TBC20_HUMAN,TBC1D20,TBC1 domain family member 20,403,Membrane;,ENST00000354200.5;ENST00000461304.5;ENST00000679741.1;ENST00000679944.1;ENST00000680106.1;ENST00000680284.1;ENST00000680792.1;ENST00000681539.1;ENST00000681636.1;ENST00000681742.1,0,,3D-structure;Alternative splicing;GTPase activation;Host-virus interaction;Membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix,Warburg micro syndrome 4;,2
Q96L42,KCNH8_HUMAN,KCNH8,Voltage-gated delayed rectifier potassium channel KCNH8,1107,Membrane;,ENST00000328405.7,0,,Alternative splicing;Glycoprotein;Ion channel;Ion transport;Membrane;Potassium;Potassium channel;Potassium transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Voltage-gated channel,,6
