uniprot_id,gene,protein_name,length,n_transmem,stratum,mean_plddt,frac_plddt70,n_surface_nuc,pocket_id,pocket_volume,n_tyr_8A,n_cys_8A,n_ser_8A,n_thr_8A,n_lys_8A,n_tyr_10A,n_cys_10A,n_ser_10A,n_thr_10A,n_lys_10A,best_nucleophile_type,best_nuc_dist,best_nuc_sasa,best_nuc_plddt,cancer_expression,cancer_high,cancer_specificity,cancer_distribution,max_frac_high,n_prognostic_significant,uniprot_cancer_annotation
P09038,FGF2,Fibroblast growth factor 2,288,0,S5_peripheral,70.27,0.4479,51.0,2,280.1,0,2,1,1,1,1,2,1,1,2,TYR,8.23,30.5,98.12,0.0,False,Low cancer specificity,Detected in many,0.25,27.0,False
P09038,FGF2,Fibroblast growth factor 2,288,0,S5_peripheral,70.27,0.4479,51.0,3,273.4,0,0,1,0,0,0,0,1,0,0,SER,3.67,100.08,50.69,0.0,False,Low cancer specificity,Detected in many,0.25,27.0,False
P09769,FGR,Tyrosine-protein kinase Fgr,529,0,S2_cancer_nonTM,82.18,0.8072,105.0,1,7279.9,2,0,0,0,1,3,0,0,0,1,TYR,2.22,30.84,97.69,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P09769,FGR,Tyrosine-protein kinase Fgr,529,0,S2_cancer_nonTM,82.18,0.8072,105.0,2,1728.0,0,1,0,1,0,0,1,1,1,2,THR,3.58,98.92,86.38,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P09769,FGR,Tyrosine-protein kinase Fgr,529,0,S2_cancer_nonTM,82.18,0.8072,105.0,3,756.0,0,0,0,0,0,0,0,0,1,1,LYS,8.44,32.82,90.62,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P10415,BCL2,Apoptosis regulator Bcl-2,239,1,S1_cancer_TM,72.02,0.5816,36.0,1,651.4,1,0,1,0,0,1,0,2,0,0,TYR,7.04,13.62,97.0,0.0,True,Low cancer specificity,Detected in many,0.5833333333333334,30.0,True
P10415,BCL2,Apoptosis regulator Bcl-2,239,1,S1_cancer_TM,72.02,0.5816,36.0,2,367.9,0,0,0,0,0,0,0,1,0,0,SER,8.97,52.59,89.56,0.0,True,Low cancer specificity,Detected in many,0.5833333333333334,30.0,True
P10415,BCL2,Apoptosis regulator Bcl-2,239,1,S1_cancer_TM,72.02,0.5816,36.0,3,344.2,1,0,0,0,0,1,0,0,0,0,TYR,7.53,27.61,86.19,0.0,True,Low cancer specificity,Detected in many,0.5833333333333334,30.0,True
P11142,HSPA8,Heat shock cognate 71 kDa protein,646,0,S5_peripheral,88.3,0.9195,132.0,1,7020.0,1,0,0,0,0,1,0,0,1,0,TYR,6.39,112.75,96.62,0.0,False,Low cancer specificity,Detected in all,0.08333333333333333,31.0,False
P11142,HSPA8,Heat shock cognate 71 kDa protein,646,0,S5_peripheral,88.3,0.9195,132.0,2,745.9,0,0,1,2,1,0,0,2,2,3,THR,1.05,77.23,52.81,0.0,False,Low cancer specificity,Detected in all,0.08333333333333333,31.0,False
P11142,HSPA8,Heat shock cognate 71 kDa protein,646,0,S5_peripheral,88.3,0.9195,132.0,3,627.8,2,0,0,2,0,2,0,0,2,1,TYR,3.33,171.99,72.69,0.0,False,Low cancer specificity,Detected in all,0.08333333333333333,31.0,False
P11802,CDK4,Cyclin-dependent kinase 4,303,0,S2_cancer_nonTM,86.81,0.8548,48.0,1,479.2,0,0,0,0,1,1,0,0,3,2,TYR,8.47,67.41,57.94,998.2,True,Cancer enriched,Detected in all,0.5,31.0,True
P11802,CDK4,Cyclin-dependent kinase 4,303,0,S2_cancer_nonTM,86.81,0.8548,48.0,2,354.4,0,0,0,1,1,0,0,1,1,1,THR,3.57,36.18,98.62,998.2,True,Cancer enriched,Detected in all,0.5,31.0,True
P11802,CDK4,Cyclin-dependent kinase 4,303,0,S2_cancer_nonTM,86.81,0.8548,48.0,3,303.8,1,1,3,1,1,2,1,3,4,2,TYR,7.71,73.45,90.5,998.2,True,Cancer enriched,Detected in all,0.5,31.0,True
P14770,GP9,Platelet glycoprotein IX,177,1,S3_singleTM,84.67,0.8079,29.0,1,1096.9,1,0,0,0,0,1,0,1,0,0,TYR,4.54,26.06,90.75,0.0,False,Not detected,Not detected,0.0,0.0,False
P15941,MUC1,Mucin-1,1255,1,S1_cancer_TM,47.41,0.1052,336.0,1,10887.8,0,0,0,0,0,0,0,0,2,0,THR,9.0,17.19,53.59,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P15941,MUC1,Mucin-1,1255,1,S1_cancer_TM,47.41,0.1052,336.0,2,9868.5,0,0,0,1,0,0,0,0,1,0,THR,4.66,142.84,36.38,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P15941,MUC1,Mucin-1,1255,1,S1_cancer_TM,47.41,0.1052,336.0,3,5808.4,0,0,0,0,0,0,0,0,0,0,,,,,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P16234,PDGFRA,Platelet-derived growth factor receptor alpha,1089,1,S1_cancer_TM,72.71,0.6676,251.0,1,3952.1,0,0,0,0,0,0,0,0,1,0,THR,9.23,111.32,61.44,101.1,True,Cancer enhanced,Detected in all,0.0,31.0,True
P16234,PDGFRA,Platelet-derived growth factor receptor alpha,1089,1,S1_cancer_TM,72.71,0.6676,251.0,2,506.2,1,0,0,1,0,1,0,0,3,1,TYR,4.0,34.51,89.19,101.1,True,Cancer enhanced,Detected in all,0.0,31.0,True
P16422,EPCAM,Epithelial cell adhesion molecule,314,1,S1_cancer_TM,87.2,0.8662,71.0,1,668.2,1,0,0,1,1,3,0,0,1,2,TYR,6.18,53.99,96.38,0.0,True,Low cancer specificity,Detected in many,1.0,29.0,True
P16422,EPCAM,Epithelial cell adhesion molecule,314,1,S1_cancer_TM,87.2,0.8662,71.0,2,408.4,0,0,1,0,1,0,0,1,0,1,SER,2.36,56.1,78.94,0.0,True,Low cancer specificity,Detected in many,1.0,29.0,True
P16422,EPCAM,Epithelial cell adhesion molecule,314,1,S1_cancer_TM,87.2,0.8662,71.0,3,405.0,0,0,1,2,2,0,0,2,2,2,SER,5.65,87.7,93.38,0.0,True,Low cancer specificity,Detected in many,1.0,29.0,True
P16591,FER,Tyrosine-protein kinase Fer,822,0,S2_cancer_nonTM,87.94,0.9124,196.0,1,18225.0,0,0,0,0,0,0,0,0,0,2,LYS,8.54,162.42,84.62,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P16591,FER,Tyrosine-protein kinase Fer,822,0,S2_cancer_nonTM,87.94,0.9124,196.0,2,803.2,0,0,1,0,1,0,0,1,0,2,LYS,5.06,136.83,89.62,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P16591,FER,Tyrosine-protein kinase Fer,822,0,S2_cancer_nonTM,87.94,0.9124,196.0,3,641.2,0,0,2,0,0,0,0,2,0,0,SER,7.54,105.29,24.23,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P16870,CPE,Carboxypeptidase E,476,0,S5_peripheral,90.36,0.8929,69.0,1,597.4,0,0,1,0,0,1,0,1,0,0,TYR,9.7,27.36,96.12,556.6,True,Cancer enhanced,Detected in all,1.0,31.0,False
P16870,CPE,Carboxypeptidase E,476,0,S5_peripheral,90.36,0.8929,69.0,2,502.9,0,0,0,1,1,0,0,0,2,2,THR,4.96,24.04,98.44,556.6,True,Cancer enhanced,Detected in all,1.0,31.0,False
P16870,CPE,Carboxypeptidase E,476,0,S5_peripheral,90.36,0.8929,69.0,3,442.1,1,2,0,0,0,1,2,0,2,1,TYR,5.19,45.13,98.0,556.6,True,Cancer enhanced,Detected in all,1.0,31.0,False
P17252,PRKCA,Protein kinase C alpha type,672,0,S2_cancer_nonTM,86.38,0.8765,128.0,1,9601.9,0,0,0,0,1,0,0,0,0,1,LYS,6.64,78.26,93.38,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P17252,PRKCA,Protein kinase C alpha type,672,0,S2_cancer_nonTM,86.38,0.8765,128.0,2,604.1,0,0,1,0,3,0,0,1,1,4,LYS,5.46,147.21,84.31,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P17252,PRKCA,Protein kinase C alpha type,672,0,S2_cancer_nonTM,86.38,0.8765,128.0,3,364.5,1,0,0,1,0,1,0,0,1,1,TYR,7.37,14.35,98.12,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P17861,XBP1,X-box-binding protein 1,261,1,S1_cancer_TM,68.29,0.4406,45.0,1,5096.2,0,0,0,0,0,0,1,0,1,0,CYS,8.53,73.12,64.62,1746.0,True,Cancer enhanced,Detected in all,0.0,31.0,True
P17861,XBP1,X-box-binding protein 1,261,1,S1_cancer_TM,68.29,0.4406,45.0,2,2055.4,0,0,0,0,1,0,0,0,0,1,LYS,6.59,154.34,95.5,1746.0,True,Cancer enhanced,Detected in all,0.0,31.0,True
P17861,XBP1,X-box-binding protein 1,261,1,S1_cancer_TM,68.29,0.4406,45.0,3,1238.6,0,0,0,0,0,0,0,0,0,0,,,,,1746.0,True,Cancer enhanced,Detected in all,0.0,31.0,True
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,475,0,S5_peripheral,90.66,0.9453,90.0,1,975.4,1,0,2,1,0,2,1,2,2,0,TYR,4.31,47.17,96.44,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,False
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,475,0,S5_peripheral,90.66,0.9453,90.0,2,388.1,0,0,0,0,0,0,1,1,0,0,SER,8.12,81.78,59.03,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,False
P19474,TRIM21,E3 ubiquitin-protein ligase TRIM21,475,0,S5_peripheral,90.66,0.9453,90.0,3,246.4,1,0,0,0,0,1,0,1,0,1,TYR,6.52,55.16,94.0,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,False
P21802,FGFR2,Fibroblast growth factor receptor 2,821,1,S1_cancer_TM,73.91,0.6724,190.0,1,631.1,1,0,0,0,0,1,2,0,0,0,TYR,7.56,146.06,86.19,0.0,False,Low cancer specificity,Detected in all,0.4166666666666667,31.0,True
P21802,FGFR2,Fibroblast growth factor receptor 2,821,1,S1_cancer_TM,73.91,0.6724,190.0,2,330.8,0,1,3,0,0,0,1,4,1,0,CYS,5.18,134.45,31.31,0.0,False,Low cancer specificity,Detected in all,0.4166666666666667,31.0,True
P22794,EVI2A,Protein EVI2A,236,1,S1_cancer_TM,56.71,0.1737,72.0,1,1775.2,0,1,0,0,2,0,1,0,0,2,LYS,2.99,181.14,53.69,35.9,True,Cancer enhanced,Detected in all,0.25,31.0,True
P22794,EVI2A,Protein EVI2A,236,1,S1_cancer_TM,56.71,0.1737,72.0,2,550.1,0,0,2,1,0,0,0,2,1,0,SER,6.6,79.28,44.62,35.9,True,Cancer enhanced,Detected in all,0.25,31.0,True
P22794,EVI2A,Protein EVI2A,236,1,S1_cancer_TM,56.71,0.1737,72.0,3,253.1,0,0,0,0,0,0,0,1,0,0,SER,8.98,83.62,52.53,35.9,True,Cancer enhanced,Detected in all,0.25,31.0,True
P23510,TNFSF4,Tumor necrosis factor ligand superfamily member 4,183,1,S1_cancer_TM,84.78,0.8087,42.0,1,246.4,1,1,0,0,1,1,1,1,0,2,TYR,7.22,82.51,96.0,0.0,False,Low cancer specificity,Detected in many,0.18181818181818182,30.0,True
P29033,GJB2,Gap junction beta-2 protein,226,4,S4_multiTM,86.18,0.8717,52.0,1,617.6,0,0,0,0,2,0,0,0,1,3,LYS,3.01,188.37,67.38,656.4,True,Cancer enhanced,Detected in many,0.4166666666666667,30.0,False
P29033,GJB2,Gap junction beta-2 protein,226,4,S4_multiTM,86.18,0.8717,52.0,2,229.5,0,0,1,0,0,0,0,1,2,0,SER,7.76,13.35,90.25,656.4,True,Cancer enhanced,Detected in many,0.4166666666666667,30.0,False
P29320,EPHA3,Ephrin type-A receptor 3,983,1,S1_cancer_TM,80.77,0.7792,227.0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in many,0.0,27.0,True
P30414,NKTR,NK-tumor recognition protein,1462,0,S2_cancer_nonTM,43.86,0.1361,569.0,1,1559.2,0,0,0,0,0,0,0,0,0,3,LYS,8.07,169.96,36.25,0.0,True,Low cancer specificity,Detected in all,0.9090909090909091,31.0,True
P30414,NKTR,NK-tumor recognition protein,1462,0,S2_cancer_nonTM,43.86,0.1361,569.0,2,492.8,0,0,1,0,1,0,0,1,0,2,SER,1.77,99.08,33.56,0.0,True,Low cancer specificity,Detected in all,0.9090909090909091,31.0,True
P30414,NKTR,NK-tumor recognition protein,1462,0,S2_cancer_nonTM,43.86,0.1361,569.0,3,411.8,0,0,0,0,0,1,0,0,0,0,TYR,9.18,215.71,37.91,0.0,True,Low cancer specificity,Detected in all,0.9090909090909091,31.0,True
P30988,CALCR,Calcitonin receptor,474,7,S4_multiTM,78.69,0.7489,88.0,1,12497.6,3,0,1,0,0,4,0,1,0,0,TYR,4.2,47.15,90.12,,False,,,,,False
P30988,CALCR,Calcitonin receptor,474,7,S4_multiTM,78.69,0.7489,88.0,2,438.8,0,0,1,0,0,0,0,1,0,0,SER,7.52,81.39,61.31,,False,,,,,False
P30988,CALCR,Calcitonin receptor,474,7,S4_multiTM,78.69,0.7489,88.0,3,202.5,1,0,0,1,0,1,0,0,2,2,TYR,3.82,136.93,73.62,,False,,,,,False
P40337,VHL,von Hippel-Lindau disease tumor suppressor,213,0,S2_cancer_nonTM,84.41,0.7277,24.0,1,695.2,0,0,1,0,0,0,0,1,0,0,SER,6.95,24.46,96.44,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P40337,VHL,von Hippel-Lindau disease tumor suppressor,213,0,S2_cancer_nonTM,84.41,0.7277,24.0,2,347.6,1,0,0,1,1,1,0,0,1,2,TYR,6.3,45.9,98.25,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P40337,VHL,von Hippel-Lindau disease tumor suppressor,213,0,S2_cancer_nonTM,84.41,0.7277,24.0,3,212.6,0,0,0,1,0,0,0,0,1,0,THR,6.95,33.3,96.19,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
P41273,TNFSF9,Tumor necrosis factor ligand superfamily member 9,254,1,S1_cancer_TM,76.63,0.6457,37.0,1,806.6,0,0,0,0,0,0,0,1,0,0,SER,9.03,30.09,91.44,0.0,False,Low cancer specificity,Detected in many,0.0,27.0,True
P41273,TNFSF9,Tumor necrosis factor ligand superfamily member 9,254,1,S1_cancer_TM,76.63,0.6457,37.0,2,401.6,0,1,0,0,0,0,2,0,0,0,CYS,0.99,82.35,46.03,0.0,False,Low cancer specificity,Detected in many,0.0,27.0,True
P41273,TNFSF9,Tumor necrosis factor ligand superfamily member 9,254,1,S1_cancer_TM,76.63,0.6457,37.0,3,371.2,0,0,0,1,1,0,0,0,1,1,THR,4.27,49.8,85.81,0.0,False,Low cancer specificity,Detected in many,0.0,27.0,True
P41743,PRKCI,Protein kinase C iota type,596,0,S2_cancer_nonTM,80.3,0.8037,115.0,1,12349.1,0,0,0,2,2,0,1,0,3,2,LYS,5.65,71.46,89.31,0.0,False,Low cancer specificity,Detected in all,0.3333333333333333,31.0,True
P41743,PRKCI,Protein kinase C iota type,596,0,S2_cancer_nonTM,80.3,0.8037,115.0,2,452.2,0,0,1,1,0,0,0,1,1,0,THR,4.96,121.76,30.02,0.0,False,Low cancer specificity,Detected in all,0.3333333333333333,31.0,True
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,277,1,S1_cancer_TM,76.98,0.5848,60.0,1,2831.6,1,0,0,0,0,1,0,0,0,0,TYR,5.33,133.15,89.44,0.0,False,Low cancer specificity,Detected in all,0.09090909090909091,30.0,True
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,277,1,S1_cancer_TM,76.98,0.5848,60.0,2,435.4,0,2,0,2,0,0,3,0,2,1,THR,3.23,22.47,98.31,0.0,False,Low cancer specificity,Detected in all,0.09090909090909091,30.0,True
P43489,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,277,1,S1_cancer_TM,76.98,0.5848,60.0,3,384.8,1,0,1,1,1,1,0,1,3,2,TYR,7.1,178.24,91.0,0.0,False,Low cancer specificity,Detected in all,0.09090909090909091,30.0,True
P50391,NPY4R,Neuropeptide Y receptor type 4,375,7,S4_multiTM,80.31,0.7547,72.0,1,3881.2,0,1,0,0,0,0,2,0,0,0,CYS,7.35,66.99,66.44,7.2,False,Cancer enriched,Detected in some,0.45454545454545453,9.0,False
P50391,NPY4R,Neuropeptide Y receptor type 4,375,7,S4_multiTM,80.31,0.7547,72.0,2,769.5,2,1,0,0,1,2,1,0,0,1,TYR,3.98,135.13,93.56,7.2,False,Cancer enriched,Detected in some,0.45454545454545453,9.0,False
P50391,NPY4R,Neuropeptide Y receptor type 4,375,7,S4_multiTM,80.31,0.7547,72.0,3,249.8,1,0,0,1,1,1,0,0,1,4,TYR,6.48,10.71,83.19,7.2,False,Cancer enriched,Detected in some,0.45454545454545453,9.0,False
P50607,TUB,Tubby protein homolog,506,0,S5_peripheral,69.14,0.5257,119.0,1,18447.8,1,0,1,0,1,1,0,1,0,3,TYR,7.94,130.76,86.44,0.0,False,Low cancer specificity,Detected in many,0.25,28.0,False
P50607,TUB,Tubby protein homolog,506,0,S5_peripheral,69.14,0.5257,119.0,2,1873.1,0,0,1,0,0,0,0,1,0,0,SER,7.19,56.18,95.06,0.0,False,Low cancer specificity,Detected in many,0.25,28.0,False
P50607,TUB,Tubby protein homolog,506,0,S5_peripheral,69.14,0.5257,119.0,3,651.4,1,0,0,3,0,1,0,0,3,3,TYR,5.07,20.08,98.12,0.0,False,Low cancer specificity,Detected in many,0.25,28.0,False
P54826,GAS1,Growth arrest-specific protein 1,345,0,S5_peripheral,69.77,0.513,55.0,1,4397.6,0,2,0,0,1,0,4,2,0,1,LYS,5.29,63.64,90.62,37.9,True,Cancer enhanced,Detected in many,0.8333333333333334,30.0,False
P54826,GAS1,Growth arrest-specific protein 1,345,0,S5_peripheral,69.77,0.513,55.0,2,405.0,0,0,0,0,0,0,0,0,0,0,,,,,37.9,True,Cancer enhanced,Detected in many,0.8333333333333334,30.0,False
P54826,GAS1,Growth arrest-specific protein 1,345,0,S5_peripheral,69.77,0.513,55.0,3,371.2,2,2,1,1,2,2,3,1,1,2,TYR,4.6,53.02,94.44,37.9,True,Cancer enhanced,Detected in many,0.8333333333333334,30.0,False
P54855,UGT2B15,UDP-glucuronosyltransferase 2B15,530,1,S3_singleTM,93.36,0.9528,114.0,1,1559.2,1,0,2,1,1,1,0,2,2,1,TYR,5.0,60.52,88.38,78.3,True,Cancer enriched,Detected in many,0.0,14.0,False
P54855,UGT2B15,UDP-glucuronosyltransferase 2B15,530,1,S3_singleTM,93.36,0.9528,114.0,2,769.5,1,0,0,1,1,2,0,0,2,1,TYR,6.8,99.56,93.06,78.3,True,Cancer enriched,Detected in many,0.0,14.0,False
P54855,UGT2B15,UDP-glucuronosyltransferase 2B15,530,1,S3_singleTM,93.36,0.9528,114.0,3,273.4,0,0,0,0,1,1,0,0,0,1,TYR,9.7,13.89,95.75,78.3,True,Cancer enriched,Detected in many,0.0,14.0,False
P55291,CDH15,Cadherin-15,814,1,S3_singleTM,78.37,0.7383,121.0,1,11704.5,1,0,0,1,0,2,0,0,1,0,TYR,7.85,177.54,52.34,2.4,False,Cancer enhanced,Detected in some,0.0,6.0,False
P55291,CDH15,Cadherin-15,814,1,S3_singleTM,78.37,0.7383,121.0,2,3594.4,0,0,0,1,0,1,0,0,2,0,TYR,9.74,170.71,42.81,2.4,False,Cancer enhanced,Detected in some,0.0,6.0,False
P55291,CDH15,Cadherin-15,814,1,S3_singleTM,78.37,0.7383,121.0,3,2146.5,0,0,0,1,0,0,0,0,1,0,THR,7.28,70.61,91.62,2.4,False,Cancer enhanced,Detected in some,0.0,6.0,False
P56373,P2RX3,P2X purinoceptor 3,397,2,S4_multiTM,88.44,0.9043,99.0,1,1117.1,0,0,1,2,2,0,1,1,3,2,SER,5.01,88.81,85.44,0.0,False,Not detected,Not detected,0.36363636363636365,0.0,False
P56373,P2RX3,P2X purinoceptor 3,397,2,S4_multiTM,88.44,0.9043,99.0,2,1086.8,0,0,0,0,1,0,0,1,1,1,LYS,6.86,183.95,30.59,0.0,False,Not detected,Not detected,0.36363636363636365,0.0,False
P56373,P2RX3,P2X purinoceptor 3,397,2,S4_multiTM,88.44,0.9043,99.0,3,880.9,1,0,1,0,0,1,0,1,0,1,TYR,7.01,120.34,96.62,0.0,False,Not detected,Not detected,0.36363636363636365,0.0,False
P56559,ARL4C,ADP-ribosylation factor-like protein 4C,192,0,S5_peripheral,93.37,0.9375,45.0,1,928.1,1,0,1,0,3,1,0,2,1,4,TYR,7.05,29.28,97.75,0.0,False,Low cancer specificity,Detected in all,0.1,31.0,False
P57738,TCTA,T-cell leukemia translocation-altered gene protein,103,2,S1_cancer_TM,65.75,0.4272,17.0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,True,Low cancer specificity,Detected in all,0.9166666666666666,31.0,True
P60033,CD81,CD81 antigen,236,4,S4_multiTM,87.35,0.9025,47.0,1,2959.9,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.1,31.0,False
P60033,CD81,CD81 antigen,236,4,S4_multiTM,87.35,0.9025,47.0,2,209.2,0,0,0,1,1,2,0,0,2,1,TYR,8.75,39.0,81.62,0.0,False,Low cancer specificity,Detected in all,0.1,31.0,False
P61006,RAB8A,Ras-related protein Rab-8A,207,0,S2_cancer_nonTM,85.41,0.8454,47.0,1,445.5,1,0,0,0,1,2,0,0,0,4,TYR,6.29,32.35,95.94,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P61006,RAB8A,Ras-related protein Rab-8A,207,0,S2_cancer_nonTM,85.41,0.8454,47.0,2,307.1,0,1,1,2,3,0,1,3,3,3,CYS,2.39,35.66,95.25,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,True
P61764,STXBP1,Syntaxin-binding protein 1,594,0,S5_peripheral,90.42,0.9141,134.0,1,7418.2,2,0,0,0,1,2,0,1,0,1,TYR,3.71,13.31,98.0,105.2,True,Cancer enhanced,Detected in all,0.0,31.0,False
P61764,STXBP1,Syntaxin-binding protein 1,594,0,S5_peripheral,90.42,0.9141,134.0,2,816.8,0,0,1,0,1,1,0,1,1,2,TYR,9.91,26.5,96.75,105.2,True,Cancer enhanced,Detected in all,0.0,31.0,False
P61764,STXBP1,Syntaxin-binding protein 1,594,0,S5_peripheral,90.42,0.9141,134.0,3,357.8,0,0,4,1,2,1,0,4,1,2,TYR,8.1,12.32,92.88,105.2,True,Cancer enhanced,Detected in all,0.0,31.0,False
P62070,RRAS2,Ras-related protein R-Ras2,204,0,S2_cancer_nonTM,86.7,0.8088,35.0,1,307.1,1,0,1,1,1,2,0,1,2,2,TYR,2.72,155.32,68.44,0.0,False,Low cancer specificity,Detected in all,0.09090909090909091,31.0,True
P62070,RRAS2,Ras-related protein R-Ras2,204,0,S2_cancer_nonTM,86.7,0.8088,35.0,2,286.9,0,1,0,0,0,0,1,0,0,1,CYS,7.21,72.56,76.69,0.0,False,Low cancer specificity,Detected in all,0.09090909090909091,31.0,True
P62070,RRAS2,Ras-related protein R-Ras2,204,0,S2_cancer_nonTM,86.7,0.8088,35.0,3,280.1,0,0,0,1,1,0,0,0,1,1,LYS,5.15,39.08,95.69,0.0,False,Low cancer specificity,Detected in all,0.09090909090909091,31.0,True
P62166,NCS1,Neuronal calcium sensor 1,190,0,S5_peripheral,87.8,0.9158,41.0,1,1350.0,2,0,0,1,0,2,0,0,1,0,TYR,4.94,137.63,53.56,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,504,1,S3_singleTM,77.82,0.6667,112.0,1,2241.0,1,0,0,1,0,1,0,1,1,0,TYR,5.92,204.95,47.81,0.0,True,Low cancer specificity,Detected in all,0.7,31.0,False
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,504,1,S3_singleTM,77.82,0.6667,112.0,2,2139.8,0,0,0,0,0,0,0,0,0,1,LYS,9.11,193.71,48.34,0.0,True,Low cancer specificity,Detected in all,0.7,31.0,False
P78324,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,504,1,S3_singleTM,77.82,0.6667,112.0,3,2075.6,1,0,4,1,0,1,0,4,2,1,TYR,5.82,17.99,97.06,0.0,True,Low cancer specificity,Detected in all,0.7,31.0,False
P78383,SLC35B1,Solute carrier family 35 member B1,322,10,S4_multiTM,86.42,0.9037,65.0,1,2484.0,1,0,1,1,2,1,1,2,1,2,TYR,3.0,129.85,78.06,0.0,False,Low cancer specificity,Detected in all,0.3333333333333333,31.0,False
P78383,SLC35B1,Solute carrier family 35 member B1,322,10,S4_multiTM,86.42,0.9037,65.0,2,2126.2,1,0,0,0,1,1,0,2,0,2,TYR,3.48,81.32,89.88,0.0,False,Low cancer specificity,Detected in all,0.3333333333333333,31.0,False
P81605,DCD,Dermcidin,110,1,S3_singleTM,64.67,0.4545,22.0,1,877.5,0,0,1,0,0,0,0,2,0,1,SER,6.49,65.01,56.31,332.5,True,Cancer enriched,Detected in some,0.1,5.0,False
P81605,DCD,Dermcidin,110,1,S3_singleTM,64.67,0.4545,22.0,2,550.1,0,0,0,0,0,0,0,0,0,0,,,,,332.5,True,Cancer enriched,Detected in some,0.1,5.0,False
P81605,DCD,Dermcidin,110,1,S3_singleTM,64.67,0.4545,22.0,3,246.4,0,0,0,1,0,0,0,1,1,0,THR,6.31,76.18,78.38,332.5,True,Cancer enriched,Detected in some,0.1,5.0,False
P98153,DGCR2,Integral membrane protein DGCR2/IDD,550,1,S3_singleTM,63.08,0.4491,105.0,1,10624.5,0,0,0,0,1,1,0,0,0,1,TYR,9.39,29.02,80.81,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
P98153,DGCR2,Integral membrane protein DGCR2/IDD,550,1,S3_singleTM,63.08,0.4491,105.0,2,3344.6,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
P98153,DGCR2,Integral membrane protein DGCR2/IDD,550,1,S3_singleTM,63.08,0.4491,105.0,3,1019.2,0,0,0,0,0,0,0,0,0,0,,,,,0.0,False,Low cancer specificity,Detected in all,0.0,31.0,False
Q00535,CDK5,Cyclin-dependent kinase 5,292,0,S5_peripheral,91.56,0.9281,61.0,1,540.0,1,0,0,2,2,1,0,1,2,2,TYR,4.7,72.87,67.44,0.0,True,Low cancer specificity,Detected in all,0.5,31.0,False
Q02846,GUCY2D,Retinal guanylyl cyclase 1,1103,1,S3_singleTM,82.01,0.8305,135.0,1,11026.1,0,0,1,0,0,0,0,1,0,0,SER,5.83,60.26,93.12,0.0,False,Not detected,Not detected,0.0,0.0,False
Q02846,GUCY2D,Retinal guanylyl cyclase 1,1103,1,S3_singleTM,82.01,0.8305,135.0,2,10469.2,0,0,0,1,0,0,0,0,1,0,THR,2.92,85.86,83.56,0.0,False,Not detected,Not detected,0.0,0.0,False
Q02846,GUCY2D,Retinal guanylyl cyclase 1,1103,1,S3_singleTM,82.01,0.8305,135.0,3,1140.8,0,0,0,1,0,0,0,0,1,0,THR,4.48,35.21,79.56,0.0,False,Not detected,Not detected,0.0,0.0,False
Q02978,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,314,6,S1_cancer_TM,86.75,0.9236,62.0,1,2669.6,0,0,0,1,0,1,0,0,2,0,TYR,9.31,73.48,89.31,0.0,True,Low cancer specificity,Detected in all,1.0,31.0,True
